0:0:0:0:0:0:0:1 - - [11/Dec/2015:00:45:42 -0800] "GET /angular-jaxrs-demo/js/MyCtrl.js HTTP/1.1" 200 1462
0:0:0:0:0:0:0:1 - - [11/Dec/2015:00:45:42 -0800] "GET /angular-jaxrs-demo/partials/home.html HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [11/Dec/2015:00:45:46 -0800] "GET /angular-jaxrs-demo/partials/about.html HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [11/Dec/2015:00:45:50 -0800] "GET /angular-jaxrs-demo/partials/search.html HTTP/1.1" 200 2465
0:0:0:0:0:0:0:1 - - [11/Dec/2015:00:45:50 -0800] "GET /angular-jaxrs-demo/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [11/Dec/2015:00:45:50 -0800] "GET /angular-jaxrs-demo/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23424
0:0:0:0:0:0:0:1 - - [11/Dec/2015:00:45:53 -0800] "GET /angular-jaxrs-demo/partials/login.html HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:22:52 -0800] "GET /angular-jaxrs-demo/webapi/ctofservice/0 HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:25:13 -0800] "GET /angular-jaxrs-demo/webapi/ftocservice/ HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:25:46 -0800] "GET /angular-jaxrs-demo/webapi/ftocservice/0 HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:29:22 -0800] "GET /angular-jaxrs-demo/webapi/ftocservice/0 HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:32:00 -0800] "GET /angular-jaxrs-demo/webapi/ftocservice/ HTTP/1.1" 200 46
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:32:01 -0800] "GET /angular-jaxrs-demo/webapi/ctofservice/0 HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:32:01 -0800] "GET /angular-jaxrs-demo/webapi/ctofservice/ HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:32:02 -0800] "GET /angular-jaxrs-demo/webapi/ctofservice/14 HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:32:03 -0800] "GET /CrunchifyRESTJerseyExample/crunchify/ctofservice/14 HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:32:04 -0800] "GET /CrunchifyRESTJerseyExample/crunchify/ctofservice/23 HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:32:05 -0800] "GET /CrunchifyRESTJerseyExample/crunchify/ctofservice/14 HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:32:05 -0800] "GET /angular-jaxrs-demo/webapi/ctofservice/14 HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:32:05 -0800] "GET /angular-jaxrs-demo/webapi/ctofservice/ HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:32:05 -0800] "GET /angular-jaxrs-demo/webapi/ctofservice/0 HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:32:09 -0800] "GET /angular-jaxrs-demo/ HTTP/1.1" 200 3920
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:32:09 -0800] "GET /angular-jaxrs-demo/css/push-menu.css HTTP/1.1" 200 1102
